State,Year,GrandTotal
A & N ISLANDS,2001,3
ANDHRA PRADESH,2001,1509
ARUNACHAL PRADESH,2001,17
ASSAM,2001,167
BIHAR,2001,61
CHANDIGARH,2001,0
CHHATTISGARH,2001,1452
D & N HAVELI,2001,19
DAMAN & DIU,2001,0
DELHI (UT),2001,18
GOA,2001,18
GUJARAT,2001,594
HARYANA,2001,145
HIMACHAL PRADESH,2001,22
JAMMU & KASHMIR,2001,15
JHARKHAND,2001,27
KARNATAKA,2001,2505
KERALA,2001,1035
LAKSHADWEEP,2001,0
MADHYA PRADESH,2001,1372
MAHARASHTRA,2001,3536
MANIPUR,2001,0
MEGHALAYA,2001,4
MIZORAM,2001,0
NAGALAND,2001,0
ODISHA,2001,256
PUDUCHERRY,2001,91
PUNJAB,2001,45
RAJASTHAN,2001,505
SIKKIM,2001,18
TAMIL NADU,2001,985
TOTAL (ALL INDIA),2001,16415
TOTAL (STATES),2001,16284
TOTAL (UTs),2001,131
TRIPURA,2001,41
UTTAR PRADESH,2001,688
UTTARAKHAND,2001,21
WEST BENGAL,2001,1246
